,ow_aqi_index
ow_aqi_index,1.0
pm_ratio,0.7430778989866507
pm2_5_rolling_avg_7d,0.7089371359780864
pm2_5_rolling_avg_30d,0.7089371359780864
pm2_5_rolling_avg_24h,0.7049659805030953
co,0.6648854156009095
co_rolling_avg_4h,0.6648854156009095
aqi_delta_3h,0.5499719409228703
wind_speed_rolling_avg_24h,0.5429553973768106
day_of_month,0.5400617248673216
day_of_week,0.5400617248673216
co_rolling_avg_24h,0.5312709493376991
aqi_pct_change_3h,0.5144957554275265
co_no2_ratio,0.4948775907216246
co_rolling_avg_30d,0.4766761458439561
co_rolling_avg_7d,0.4766761458439561
wind_speed_rolling_avg_30d,0.4676217619838707
wind_speed_rolling_avg_7d,0.4676217619838707
temp_rolling_avg_4h,0.44147009717907526
temp,0.44147009717907526
pm2_5,0.3961979007693736
pm2_5_rolling_avg_4h,0.3961979007693736
co_wind_disp,0.3712579490856882
o3_rolling_avg_30d,0.3200828441691396
o3_rolling_avg_7d,0.3200828441691396
wind_speed,0.2595657055720473
wind_speed_rolling_avg_4h,0.2595657055720473
day_of_week_cos,0.2505028935765234
no,0.23640272834554862
no_rolling_avg_4h,0.23640272834554862
temp_rolling_avg_30d,0.18713330533203917
temp_rolling_avg_7d,0.18713330533203917
temp_rolling_avg_24h,0.1794344869745076
no_rolling_avg_24h,0.1439229516087567
no2_o3_ratio,0.06174891795769336
no2,0.057959955129789784
no2_rolling_avg_4h,0.057959955129789784
pm2_5_wind_disp,0.022096069893427047
no_wind_disp,-0.021224262436636044
o3_rolling_avg_4h,-0.04011644156375944
o3,-0.04011644156375944
no_rolling_avg_7d,-0.048460282209458534
no_rolling_avg_30d,-0.048460282209458534
temp_feels_like,-0.12251776360556162
no2_wind_disp,-0.14178208383902222
no2_rolling_avg_24h,-0.1730193859998263
o3_wind_disp,-0.2063877380524974
o3_rolling_avg_24h,-0.23328231290323614
humidity_rolling_avg_30d,-0.3907749636365442
humidity_rolling_avg_7d,-0.3907749636365442
so2_no2_ratio,-0.48782312743498657
no2_rolling_avg_30d,-0.5065616024048967
no2_rolling_avg_7d,-0.5065616024048967
pm10_wind_disp,-0.5195245806048502
day_of_week_sin,-0.5201746184149341
so2_wind_disp,-0.5499090571691365
pm10_rolling_avg_7d,-0.6016289926647594
pm10_rolling_avg_30d,-0.6016289926647594
so2,-0.6324602299789134
so2_rolling_avg_4h,-0.6324602299789134
humidity,-0.6341639947074564
humidity_rolling_avg_4h,-0.6341639947074564
pm10_rolling_avg_4h,-0.6608951849344954
pm10,-0.6608951849344954
so2_rolling_avg_7d,-0.6855240932906344
so2_rolling_avg_30d,-0.6855240932906344
pm10_rolling_avg_24h,-0.6972904213241521
humidity_rolling_avg_24h,-0.7297380497769275
so2_rolling_avg_24h,-0.8767925200278067
pressure,
wind_deg,
nh3,
hour,
month,
nh3_rolling_avg_4h,
nh3_rolling_avg_24h,
nh3_rolling_avg_7d,
nh3_rolling_avg_30d,
pressure_rolling_avg_4h,
pressure_rolling_avg_24h,
pressure_rolling_avg_7d,
pressure_rolling_avg_30d,
wind_deg_rolling_avg_4h,
wind_deg_rolling_avg_24h,
wind_deg_rolling_avg_7d,
wind_deg_rolling_avg_30d,
nh3_wind_disp,
hour_sin,
hour_cos,
month_sin,
month_cos,
